https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDP,tradecount
1643587200000,2022-01-31,BTCUSDP,37738.11,38675.43,36713.99,38451.38,14.7735,564037.6953262,362
1643500800000,2022-01-30,BTCUSDP,38058.62,38369.4,37404.34,38097.24,3.65024,138867.8277176,162
1643414400000,2022-01-29,BTCUSDP,37910.67,38667.51,37424.48,38125.37,3.43517,129883.2461384,285
1643328000000,2022-01-28,BTCUSDP,37120.61,37992.47,36235.53,37723.68,2.17456,80487.9256215,194
1643241600000,2022-01-27,BTCUSDP,36950.0,37217.88,35629.64,37217.88,5.05309,183738.4554973,207
1643155200000,2022-01-26,BTCUSDP,37044.16,38979.63,36461.46,36911.08,14.34419,541704.6382198,2822
1643068800000,2022-01-25,BTCUSDP,36571.92,37388.04,35684.44,37000.59,4.22112,153956.5725106,639
1642982400000,2022-01-24,BTCUSDP,36294.23,37442.09,32891.08,36596.6,23.64876,829859.3320778,2112
1642896000000,2022-01-23,BTCUSDP,35113.26,36551.04,34712.91,36309.53,18.11471,642380.6318798,3333
1642809600000,2022-01-22,BTCUSDP,36527.82,36768.27,34060.3,35117.13,35.25234,1244334.1928111,1776
1642723200000,2022-01-21,BTCUSDP,40495.76,41043.3,35450.9,36478.41,18.24941,696806.9240079,840
1642636800000,2022-01-20,BTCUSDP,41717.5,43426.07,40661.05,40773.93,5.77833,241269.2686016,226
1642550400000,2022-01-19,BTCUSDP,42364.35,42523.46,41156.92,41711.96,1.90389,80027.1934477,177
1642464000000,2022-01-18,BTCUSDP,42231.55,42444.16,41256.26,42432.73,5.01099,209464.0884486,270
1642377600000,2022-01-17,BTCUSDP,42814.62,42984.57,41668.0,42147.99,4.60187,196098.9118813,274
1642291200000,2022-01-16,BTCUSDP,43033.21,43357.22,42683.25,43092.47,0.63831,27383.9505226,116
1642204800000,2022-01-15,BTCUSDP,42956.9,43645.87,42531.17,43123.98,2.71877,117081.4758217,209
1642118400000,2022-01-14,BTCUSDP,42560.14,43374.51,41890.22,43027.49,1.86183,79271.1828324,237
1642032000000,2022-01-13,BTCUSDP,43833.98,44409.25,42451.36,42689.42,3.5987,157036.2995213,369
1641945600000,2022-01-12,BTCUSDP,42855.5,44175.4,42448.95,43938.12,4.84222,211313.079563,513
1641859200000,2022-01-11,BTCUSDP,41639.03,42962.21,41313.0,42855.5,4.96397,209861.7551319,372
1641772800000,2022-01-10,BTCUSDP,41827.9,42171.8,39771.97,41757.21,8.08861,331371.1028894,455
1641686400000,2022-01-09,BTCUSDP,41610.38,42673.11,41335.61,41899.11,2.51085,105802.9652152,189
1641600000000,2022-01-08,BTCUSDP,41630.16,42139.08,40563.54,41770.41,16.03434,661311.3503775,402
1641513600000,2022-01-07,BTCUSDP,43125.55,43125.55,40634.44,41563.82,33.58867,1403350.4550604,680
1641427200000,2022-01-06,BTCUSDP,43480.75,43800.71,42427.87,43043.68,23.72089,1018454.5974117,1354
