https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDC,tradecount
1617235200000,2021-04-01,BTCUSDC,58760.1,59500.0,57920.0,58713.1,1612.435853,94831869.73017408,43709
1617148800000,2021-03-31,BTCUSDC,58768.34,59824.12,56743.63,58771.1,2207.20271,129544617.35200894,59779
1617062400000,2021-03-30,BTCUSDC,57602.51,59369.23,57040.22,58779.8,1840.435567,107663672.6484152,51856
1616976000000,2021-03-29,BTCUSDC,55776.4,58427.6,54895.0,57595.59,2684.973422,153548576.5576156,87699
1616889600000,2021-03-28,BTCUSDC,55849.07,56540.59,54687.19,55767.6,1439.254926,80342263.25383928,57138
1616803200000,2021-03-27,BTCUSDC,55068.25,56642.52,53939.73,55845.08,1987.067559,109724729.51033494,67036
1616716800000,2021-03-26,BTCUSDC,51310.88,55117.58,51251.93,55078.95,2821.370805,150274899.81097555,84179
1616630400000,2021-03-25,BTCUSDC,52281.91,53529.37,50363.16,51311.53,2673.824034,138641071.07668105,72096
1616544000000,2021-03-24,BTCUSDC,54356.22,57226.74,51600.0,52306.87,2413.969452,132577024.06085448,59899
1616457600000,2021-03-23,BTCUSDC,54080.13,55831.63,52990.25,54374.21,1846.800257,100861979.5153032,45401
1616371200000,2021-03-22,BTCUSDC,57353.03,58418.3,53680.25,54098.64,1734.487206,97669357.42195924,48539
1616284800000,2021-03-21,BTCUSDC,58092.11,58622.74,55436.5,57367.35,1291.222361,73782935.206892,36957
1616198400000,2021-03-20,BTCUSDC,58040.39,59900.0,57830.24,58109.81,1100.584668,64806622.45736819,32281
1616112000000,2021-03-19,BTCUSDC,57633.36,59470.47,56275.94,58066.76,2051.297988,119646803.08282956,47061
1616025600000,2021-03-18,BTCUSDC,58941.7,60115.06,56978.69,57654.2,2125.526887,124573443.77365416,49870
1615939200000,2021-03-17,BTCUSDC,56908.8,59000.0,54137.72,58947.13,1998.71466,112506240.07384272,48648
1615852800000,2021-03-16,BTCUSDC,55637.22,57708.86,53275.0,56925.26,2524.848256,139415120.23599777,56904
1615766400000,2021-03-15,BTCUSDC,59000.0,61720.0,54559.5,55628.69,3045.067979,173876935.33317325,69233
1615680000000,2021-03-14,BTCUSDC,61182.49,61682.47,58979.41,59011.65,1388.168012,83715665.43037844,35625
1615593600000,2021-03-13,BTCUSDC,57278.41,61800.0,56084.83,61153.84,2201.590225,130098514.81204087,46841
1615507200000,2021-03-12,BTCUSDC,57795.55,58082.37,55008.09,57226.46,1907.321473,108195246.11322744,39408
1615420800000,2021-03-11,BTCUSDC,55853.46,58162.6,54250.65,57795.55,2160.784393,121623877.74089506,47712
