[2025-12-14 13:56:22,365][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:56:34,701][INFO] [UI] Features calculées.
[2025-12-14 13:56:34,701][INFO] [UI] Signal de trading : hold
[2025-12-14 13:56:34,701][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:56:47,004][INFO] [UI] Features calculées.
[2025-12-14 13:56:47,004][INFO] [UI] Signal de trading : hold
[2025-12-14 13:56:47,004][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:56:59,354][INFO] [UI] Features calculées.
[2025-12-14 13:56:59,354][INFO] [UI] Signal de trading : hold
[2025-12-14 13:56:59,354][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:57:11,672][INFO] [UI] Features calculées.
[2025-12-14 13:57:11,672][INFO] [UI] Signal de trading : hold
[2025-12-14 13:57:11,672][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:57:23,988][INFO] [UI] Features calculées.
[2025-12-14 13:57:23,988][INFO] [UI] Signal de trading : hold
[2025-12-14 13:57:23,988][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:57:36,315][INFO] [UI] Features calculées.
[2025-12-14 13:57:36,330][INFO] [UI] Signal de trading : hold
[2025-12-14 13:57:36,330][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:57:48,647][INFO] [UI] Features calculées.
[2025-12-14 13:57:48,647][INFO] [UI] Signal de trading : hold
[2025-12-14 13:57:48,662][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:58:01,020][INFO] [UI] Features calculées.
[2025-12-14 13:58:01,020][INFO] [UI] Signal de trading : hold
[2025-12-14 13:58:01,020][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:58:13,332][INFO] [UI] Features calculées.
[2025-12-14 13:58:13,332][INFO] [UI] Signal de trading : hold
[2025-12-14 13:58:13,332][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:58:25,647][INFO] [UI] Features calculées.
[2025-12-14 13:58:25,647][INFO] [UI] Signal de trading : hold
[2025-12-14 13:58:25,647][INFO] [Worker] Erreur versioning DVC : Cannot save file into a non-existent directory: 'data\features'
[2025-12-14 13:58:37,987][INFO] [UI] Features calculées.
[2025-12-14 13:58:37,987][INFO] [UI] Signal de trading : hold
